timestamp,ax,ay,az,gx,gy,gz,pressing_id
520626,570,-3179,15584,948,-378,-333,1
520639,-968,-3324,15494,1200,818,-613,1
520651,-582,-3506,15623,1468,445,-433,1
520719,137,-3993,14167,-1745,589,-949,1
520731,264,-4060,14411,-548,257,-829,1
520744,233,-3727,15494,482,-430,-705,1
520757,1,-3282,17409,507,-1497,-454,1
520770,530,-3337,17072,-176,-1471,-391,1
520782,668,-3528,15930,-745,-928,-159,1
520795,205,-4010,14558,-116,405,316,1
520808,-15,-3933,14877,637,813,388,1
520821,24,-3657,15566,1223,791,386,1
520833,-448,-3306,16149,1273,-168,438,1
520846,-83,-3287,16390,1026,-684,265,1
520859,283,-3298,16416,627,-680,219,1
520872,70,-3537,15678,117,179,559,1
520885,-310,-3516,15676,218,244,648,1
520897,-508,-3224,16431,433,-286,538,1
520910,-509,-3063,16544,260,-411,418,1
520923,-540,-3093,16304,67,-335,289,1
520936,-409,-3140,16010,136,-18,51,1
520948,-65,-3270,15956,285,114,-10,1
520961,0,-3341,16026,475,270,60,1
520974,-485,-3222,16164,670,591,243,1
520986,-971,-3140,16317,669,351,131,1
520999,-948,-3111,16559,589,-115,-142,1
521012,-289,-3152,16303,147,-284,-598,1
521025,350,-3427,16062,44,-196,-609,1
521037,583,-3566,16016,75,-171,-390,1
521050,-108,-3479,15918,209,-88,124,1
521063,-598,-3417,16045,333,-162,85,1
521075,-693,-3333,16336,384,-305,-146,1
521088,321,-3409,16220,198,-32,-527,1
521101,554,-3456,16012,143,259,-394,1
521114,868,-3588,15759,201,101,209,1
521126,247,-3493,15952,308,-220,554,1
521139,-131,-3443,16144,336,-524,670,1
521152,-713,-3241,16506,210,-304,361,1
521165,-666,-3128,16403,92,-37,89,1
521178,-448,-3186,16042,-12,149,-120,1
521190,161,-3338,15727,115,-85,-190,1
521203,500,-3440,15799,223,-323,27,1
521215,368,-3319,16106,362,-460,393,1
521228,-754,-2998,16332,296,-210,666,1
521241,-1055,-3046,16367,229,-52,383,1
521254,-620,-3088,16352,134,-3,19,1
521267,290,-3225,15520,89,702,-145,1
521279,331,-3347,15598,404,760,44,1
521292,191,-3198,15889,618,517,240,1
521304,-549,-2976,16331,546,-184,398,1
521318,-593,-2986,16448,326,-492,230,1
521330,82,-3081,15986,84,-411,-76,1
521343,520,-3266,15670,-63,-133,-33,1
521356,404,-3139,15543,148,225,178,1
521368,55,-3131,15876,681,375,498,1
521381,87,-3019,16335,791,-99,606,1
521394,79,-2842,16512,648,-694,728,1
521407,-396,-2644,16455,109,-859,692,1
521419,-622,-2672,16073,-63,-448,466,1
521432,-452,-2954,15797,-5,-26,182,1
521445,869,-3049,16142,400,-147,102,1
521458,1135,-2799,16444,418,-586,519,1
521470,727,-2753,16327,222,-811,977,1
521483,-395,-2840,15984,248,-388,1283,1
521496,-627,-2813,16014,371,-36,1110,1
521509,-499,-2884,16169,439,95,883,1
521521,-322,-2936,15988,298,-216,618,1
521534,-27,-3096,15965,267,-653,629,1
521547,378,-3042,16016,268,-838,953,1
521559,49,-3115,15873,310,-444,1136,1
521572,-667,-2984,15920,436,-191,1176,1
521585,-1258,-3014,16511,605,-418,520,1
521598,-762,-3018,16645,504,-479,180,1
521611,-90,-3137,16454,310,-379,76,1
521623,179,-3285,16206,192,-185,595,1
521636,-307,-3271,16020,116,-192,829,1
521648,-683,-3197,15921,125,-362,846,1
521662,-447,-3347,15768,110,-929,449,1
521674,217,-3390,16132,157,-949,379,1
521687,578,-3231,16320,20,-430,511,1
521700,830,-3546,15506,-48,1185,1045,1
521712,1578,-3611,15212,314,1527,1272,1
521725,2333,-3476,15314,841,1337,1640,1
521738,3267,-3016,16715,1491,182,2479,1
521751,4229,-2739,18072,1468,-127,2640,1
521763,7378,-2879,19230,1063,379,3076,1
521776,8780,-2847,19374,312,952,3782,1
521789,9418,-2706,18967,-245,1530,4766,1
521802,9783,-2317,18736,-1070,1336,6659,1
521815,9920,-2062,18819,-1373,650,7294,1
521827,10730,-1685,19411,-1602,-176,7702,1
521840,13980,-1056,20750,-2535,-1264,9188,1
521853,14615,-343,20576,-3381,-917,10386,1
521866,14617,470,19766,-4228,-639,11581,1
521878,13870,1859,18844,-4927,-1415,13621,1
521891,13683,2589,18916,-4992,-2421,14434,1
521904,13890,3226,18699,-5036,-3628,15248,1
521917,12784,4079,19317,-4374,-5263,17294,1
521930,11306,4505,20259,-3833,-5218,18038,1
521942,9583,5360,22829,-3236,-5894,18338,1
521955,10074,5727,23810,-3649,-7018,18347,1
521968,10671,6107,23717,-4506,-8139,18667,1
521981,10082,7464,23894,-5765,-9276,20085,1
521993,9048,8401,23993,-6311,-9611,20860,1
522038,5450,12804,22195,-6213,-12634,25342,1
522050,4441,14174,23030,-5696,-12706,26037,1
522063,3628,15330,23784,-5730,-12871,26554,1
522076,3676,16411,23625,-6097,-13501,27738,1
522089,3523,16802,23082,-5595,-13627,28633,1
522101,3248,17671,23377,-4575,-13873,29668,1
522114,-30,16491,25628,-3731,-15136,30860,1
522127,1473,18589,25280,-4538,-15448,30265,1
522140,3018,19648,25148,-5168,-15573,30408,1
522153,2589,17904,23433,-6349,-14551,32520,1
522165,1715,20099,23714,-5087,-14526,32764,1
522178,905,21274,25564,-5991,-15865,32764,1
522191,521,21255,25368,-5802,-16983,32764,1
522204,43,21379,25223,-5434,-17625,32764,1
522217,1313,21890,22997,-4284,-16598,32764,1
522230,1967,23586,22847,-2885,-16347,32764,1
522242,1942,24372,23800,-1438,-16724,32764,1
522255,-146,25028,27720,-124,-18698,32764,1
522268,-1247,25187,28517,-360,-19671,32764,1
522281,-2835,24222,28484,-469,-20497,32764,1
522294,-4795,21403,27411,284,-19736,32764,1
522306,-5078,20170,27069,771,-18697,32764,1
522319,-4738,20062,26784,532,-18185,32764,1
522332,-4499,19760,26313,98,-19053,32764,1
522345,-4245,20493,27192,241,-20073,32764,1
522357,-5593,23145,29887,898,-19448,32764,1
522370,-8379,24567,31944,1211,-17927,32764,1
522383,-11065,24390,32764,948,-16809,32764,1
522396,-11289,23868,32764,-2123,-16939,32764,1
522409,-8505,23046,32291,-3676,-17762,32764,1
522421,-6028,22452,30606,-4421,-18242,32764,1
522434,-7427,22380,28977,-3952,-17995,32764,1
522447,-8965,21877,29009,-3579,-18202,32764,1
522460,-9328,20023,29705,-3485,-19223,32764,1
522473,-8796,18982,29366,-4531,-18899,32711,1
522486,-7939,17627,28372,-5336,-18231,32197,1
522498,-5527,15082,25807,-6777,-17359,31394,1
522511,-4000,15386,24538,-7360,-17751,31800,1
522525,-2638,16576,22931,-7777,-18854,32581,1
522538,-1600,21754,20301,-6087,-22343,32764,1
522551,-3658,24164,23356,-2406,-23560,32764,1
522564,-10469,26098,32764,4228,-20628,32764,1
522576,-14097,26321,32764,3931,-17942,32764,1
522589,-14882,25483,32764,394,-17008,32764,1
522602,-9753,21008,28628,-6896,-21555,31656,1
522615,-5703,19250,25083,-6800,-23977,31421,1
522628,-2642,18976,23704,-4860,-24592,32339,1
522640,-3979,21882,27513,898,-22796,32764,1
522654,-5518,23010,30475,2840,-21971,32764,1
522666,-6922,23697,32460,3868,-20925,32764,1
522679,-8069,24731,32764,3394,-18512,32764,1
522692,-8029,24478,32764,1761,-18646,32764,1
