timestamp,ax,ay,az,gx,gy,gz,pressing_id
1614993,-6948,-14884,-4371,803,638,640,1
1615006,-6827,-14587,-3198,1039,265,-517,1
1615019,-6254,-14132,-2241,411,248,-921,1
1615079,-4402,-14139,-3615,-3275,384,86,1
1615091,-5909,-13949,-5573,-4429,-324,548,1
1615104,-6438,-14560,-7261,-4703,-1120,386,1
1615117,-6725,-15022,-8331,-3710,-2005,201,1
1615130,-5757,-15410,-6911,-1023,-1870,-137,1
1615143,-5727,-15392,-6824,-141,-822,21,1
1615156,-5701,-15321,-6414,904,289,124,1
1615168,-5929,-14279,-4899,2158,1247,-31,1
1615181,-5663,-13578,-5036,2054,864,-311,1
1615194,-5396,-12349,-5515,1841,-66,-679,1
1615206,-3999,-10485,-9181,1234,-3677,-1329,1
1615220,-2575,-9635,-11582,1640,-5474,-1352,1
1615232,990,-5453,-17332,5373,-4781,-710,1
1615245,-113,-1811,-20604,8677,-3453,-135,1
1615258,-1114,2424,-23194,12439,-4238,-472,1
1615271,2980,9528,-21679,20587,-11059,-2911,1
1615283,5763,11820,-21726,23198,-13283,-3788,1
1615296,7044,13400,-22602,25917,-13852,-4247,1
1615309,5091,16530,-23892,32391,-14528,-6152,1
1615322,7675,17472,-23509,32764,-15820,-7884,1
1615335,12486,19143,-21536,32764,-16535,-8740,1
1615347,18150,23698,-18029,32764,-17572,-6463,1
1615360,20406,25716,-16212,32764,-18899,-4442,1
1615373,15500,29830,-11025,32764,-19691,-2058,1
1615386,12893,31548,-7523,32764,-20148,-1251,1
1615399,11429,32742,-4026,32764,-20522,-2631,1
1615412,23344,32742,5229,32764,-24575,-5505,1
1615424,29879,32742,12312,32764,-24051,-3784,1
1615437,25674,32742,19415,32764,-21147,1235,1
1615450,11057,32742,32764,32764,-20582,7584,1
1616645,-6990,-11481,-7234,241,-354,-10,2
1616658,-6383,-11684,-8102,-269,-541,355,2
1616671,-6698,-11556,-8342,-615,-520,1090,2
1616684,-8090,-11251,-8946,-570,216,1811,2
1616697,-9018,-11071,-9344,-496,441,1761,2
1616709,-9642,-10635,-10091,-287,713,1468,2
1616722,-9524,-8902,-11734,1022,798,247,2
1616735,-8290,-7127,-13572,1833,373,-229,2
1616748,-5383,-1853,-19109,2910,-264,-435,2
1616760,-5107,2199,-21551,7196,-1191,-242,2
1616773,-6053,5858,-23859,10059,-2349,-165,2
1616786,-7167,10102,-26464,16966,-4354,-2511,2
1616799,-6369,11961,-27814,20798,-4904,-4561,2
1616812,-4356,13441,-29358,25182,-5773,-6603,2
1616824,244,17149,-26290,32695,-7896,-9490,2
1616837,3075,18840,-23138,32764,-8692,-10250,2
1616850,5306,20447,-20791,32764,-9315,-10431,2
1616863,7553,22834,-19175,32764,-13677,-10336,2
1616876,8637,24296,-17562,32764,-17404,-10919,2
1616889,10120,25791,-15139,32764,-20597,-12134,2
1616901,17316,27530,-11466,32764,-24033,-15603,2
