timestamp,ax,ay,az,gx,gy,gz,pressing_id
20745,-7126,-4059,13405,-393,-1227,1771,1
20848,-7254,-4191,14713,174,133,4108,1
20951,-18929,6598,14152,-2435,-2018,7005,1
21109,-13724,32742,22144,29752,9141,-32764,1
21212,14374,32742,18244,19171,5803,-32764,1
22314,-7225,-4961,13744,5601,2080,1098,2
22418,-5241,-4859,12759,1994,-1221,2793,2
22520,-6853,-1999,15131,7097,682,-149,2
22623,-8482,681,16640,-3255,-1724,6176,2
22726,-17596,10169,14305,-2138,-557,-11609,2
22829,-31127,29261,14491,6478,11315,-32764,2
22932,-14211,32742,32019,27642,30208,-32764,2
23035,15938,32742,28165,19890,2188,-32764,2
24538,-9902,-4525,12732,-4499,-1772,10499,3
24641,-18152,1450,13667,3130,-1339,16072,3
24744,-19333,16505,11825,4487,6738,-19470,3
24846,-17888,27349,16459,15197,13814,-32764,3
24949,-2988,32742,32684,32764,32500,-32764,3
25052,32710,17749,32764,19092,11675,-32764,3
25155,19469,-825,24498,899,4782,-5904,3
26258,-14565,1128,18816,-1971,5180,-2060,4
26361,-15199,903,9579,-9279,5036,-6488,4
26463,-17485,23987,3886,-379,310,-28734,4
26567,-9914,32742,4956,28701,13239,-32764,4
26669,22969,29332,29544,32764,13479,-32764,4
26772,26759,4703,32764,4892,3470,-14991,4
27675,-24003,32742,1037,4034,4422,-5607,5
27778,-4466,32742,19468,32764,2211,-32764,5
27881,32055,32742,32764,31433,-23401,-32764,5
27984,27424,-4824,32764,7022,7687,-10325,5
28787,-32758,32742,32764,8359,-17569,-550,6
28889,-24187,32742,11560,-3560,13183,-32764,6
28993,32710,28079,16259,8830,13914,-32764,6
29095,30982,-11068,25184,11928,6729,-8053,6
30198,-32758,32742,7303,32333,7822,-32764,7
30301,21961,32742,32764,29878,10397,-32764,7
30404,32710,20959,29901,398,6316,-28466,7
31407,-2195,32742,9153,11357,-3337,-32764,8
31510,13451,32742,26436,17450,-2185,-32764,8
31613,32710,21329,28554,1638,-4980,-32764,8
31715,20167,2007,11885,-1401,-3843,-7536,8
32619,-6154,28777,13102,3874,-3615,-28810,9
32722,2261,32742,16011,12442,-4119,-32764,9
32824,16787,32742,19892,21845,-6838,-32764,9
32927,32710,8553,24361,4919,-1188,-32358,9
33030,16644,-5357,15903,-3731,-1982,-10245,9
33833,-12669,7360,16592,4257,417,5993,10
33936,-17129,21629,18325,-1370,3653,-3596,10
34039,-21432,32742,6759,4618,4466,-32764,10
34141,16390,32742,28586,32764,19742,-32764,10
34244,32710,32742,31008,7555,-18500,-32764,10
34347,22551,17557,11920,-8457,7264,-8459,10
34450,20675,7909,11422,1787,-743,8159,10
35253,-9384,4907,17247,22,-2092,2378,11
35356,-22047,31668,17602,-882,2723,-7329,11
35459,-15071,32742,16359,23787,5540,-32764,11
35562,32710,32742,32764,31084,-4503,-32764,11
35664,29709,10157,24851,6684,-2849,-17681,11
35768,12073,5302,19961,2908,-11205,777,11
36570,-21101,32742,6308,456,-4535,-28286,12
36673,20991,32742,28135,32344,-3190,-32764,12
36776,32710,25709,32764,12854,499,-32764,12
38879,11142,728,15581,-2446,-6127,25283,13
38982,-635,5708,15972,-6430,-5989,32764,13
39085,-25422,4004,16512,-10887,-10570,15774,13
39188,-32758,10998,17888,-6209,10546,-30094,13
39291,-16065,32742,23648,-10953,7071,-32764,13
39394,30153,27643,30307,-6271,4616,-32764,13
39496,24858,6570,10785,-8671,3815,-2287,13
40599,-4590,-4742,14723,123,-796,1455,14
40703,-32758,2516,27785,-7767,-6975,-12068,14
40805,-9851,21153,19916,-19157,18563,-32764,14
41908,-32758,21409,17406,-26476,-21527,-32764,15
42011,13498,27744,13522,-15567,24786,-32764,15
42114,15386,20822,11759,360,21,-32764,15
43118,-27345,8297,23015,-6300,-6442,-8173,16
43220,-16164,26011,9105,-24620,-7519,-32764,16
43323,8248,18087,22815,-3818,9056,-32764,16
43426,7928,7883,15482,-4529,3523,-24058,16
45429,-18568,-7900,15998,-2060,-1811,4365,17
45532,-30349,-2219,22524,-3307,12566,-19799,17
45735,6768,32742,22646,2754,7836,-32764,18
46938,-29221,412,14566,-16593,-10299,-28936,19
47041,-9690,20396,20887,-6467,24110,-32764,19
47144,10735,13523,28920,-8544,14520,-32764,19
48547,-26363,13702,25044,-11490,7723,-32764,20
48650,-7701,20741,18970,-13496,25508,-32764,20
48753,19860,24651,20262,-3887,-2978,-32764,20
48856,23919,15159,14765,-10338,10518,-12694,20
48959,10796,1222,9945,-3031,-2132,6236,20
