timestamp,ax,ay,az,gx,gy,gz,pressing_id
210773,-16685,2612,10774,-3192,-614,8559,1
210786,-16529,2659,10431,92,1033,4514,1
210798,-16531,2527,11500,1052,307,2921,1
210859,-15805,5181,9363,-5650,-5049,-8290,1
210871,-14698,5906,8173,-5624,-5033,-9642,1
210884,-13868,6731,7353,-4806,-4695,-10615,1
210897,-13231,9872,7572,-1797,-2918,-11513,1
210910,-14075,11644,8452,-296,-2593,-11591,1
210923,-15560,12814,8663,736,-2080,-11936,1
210936,-16917,13547,7654,3489,491,-14186,1
210948,-17603,14128,8329,5326,1785,-15704,1
210961,-18547,14918,9867,6648,1852,-17147,1
210974,-21014,19028,11543,5151,-588,-20790,1
210987,-22489,22128,10136,3493,-1158,-23302,1
211000,-28813,27756,4545,1540,-1394,-28414,1
211012,-32605,29978,2629,2800,-1187,-31812,1
211025,-32760,32489,1880,5733,-476,-32764,1
211038,-32759,32742,4863,14912,3706,-32764,1
211051,-30552,32742,8279,19125,4291,-32764,1
211063,-25039,32742,11608,21959,3846,-32764,1
211076,-9825,32742,18585,24800,7431,-32764,1
211089,-8050,32742,21702,25486,9917,-32764,1
211102,-7034,32742,23474,24934,10920,-32764,1
211115,-661,32742,25410,24361,12122,-32764,1
211127,5010,32742,27388,25220,13850,-32764,1
211140,19871,32742,32047,25964,14101,-32764,1
211153,32711,32742,32764,22307,17162,-32764,1
211166,30486,32742,32326,19602,18863,-32764,1
211179,13081,27953,29699,19725,15460,-32764,1
211191,9206,26826,32533,19997,11619,-32764,1
212998,-7808,1200,15293,459,1181,-200,2
213011,-7657,288,14853,83,1262,-433,2
213024,-7568,493,15515,-458,-659,-605,2
213036,-6741,512,15912,-1467,-1336,-785,2
213049,-5973,376,15839,-2250,-1758,-596,2
213062,-5310,-151,15317,-2948,-2132,161,2
213074,-5009,-954,14769,-2810,-2013,748,2
213088,-4850,-1232,14981,-2212,-1699,1386,2
213100,-4188,-1143,17523,-919,-821,2674,2
213113,-5190,-848,18203,-1332,-547,3551,2
213126,-6310,-827,17999,-2313,-587,4160,2
213139,-8336,-537,16779,-4387,-1043,4762,2
213151,-9212,205,16216,-5306,-1497,4911,2
213164,-10649,880,15249,-6325,-1913,5063,2
213177,-13365,2474,12304,-7701,-2380,4581,2
213189,-14514,3813,11058,-7749,-2692,4013,2
213203,-19052,8977,8624,-6950,-2947,2640,2
213215,-23405,12099,7627,-6338,-3015,1498,2
213228,-28496,16309,7665,-5704,-3549,-493,2
213241,-32759,20477,7548,-5185,-3662,-8304,2
213254,-32759,22194,6158,-4506,-2024,-14147,2
213266,-32760,23899,4135,-2446,-48,-21524,2
213279,-32760,28760,4947,5284,2267,-32681,2
213292,-31370,31922,6912,8988,3022,-32764,2
213304,-25988,32742,9733,11951,3503,-32764,2
213318,-20378,32742,14222,14214,3377,-32764,2
213330,-20453,32742,14278,14030,4123,-32764,2
213343,-21263,32742,13986,14255,5634,-32764,2
213356,-20546,32742,12529,16623,9293,-32764,2
213369,-18166,32742,11188,18817,10155,-32764,2
213381,-9506,32742,13211,22406,11304,-32764,2
213394,-6748,32742,16963,32148,16887,-32764,2
213407,-4332,32742,22238,32764,18793,-32764,2
213420,4433,32742,32764,32764,13599,-32764,2
213433,13202,32742,32764,32289,6902,-32764,2
213445,21626,32742,32764,26155,1997,-32764,2
213459,27916,32742,25051,12616,3736,-32764,2
214363,-12373,231,15113,-1370,-3634,11043,3
214376,-12432,938,14861,-2242,-2950,10672,3
214389,-14987,1896,14187,-3465,-2224,9910,3
214401,-15227,2313,14676,-3842,-2932,9038,3
214414,-15756,3054,14289,-4703,-3110,8150,3
214427,-16180,6110,13146,-5930,-3602,7110,3
214440,-17476,8130,11991,-6112,-3312,6823,3
214453,-19890,11099,11365,-5638,-3157,6340,3
214466,-29259,19163,11795,-4010,-3449,3015,3
214478,-32243,23406,11584,-3568,-3366,-634,3
214491,-32760,28813,11087,-3385,-2783,-4707,3
214504,-32759,32742,6714,-1986,1751,-12606,3
214517,-32759,32742,5374,543,3684,-18008,3
214529,-32759,32742,5376,3925,3867,-24271,3
214543,-29069,32742,5994,10748,4626,-32710,3
214555,-23702,32742,6252,14892,6301,-32764,3
214568,-11724,32742,13876,24690,9118,-32764,3
214581,-9506,32742,17966,28336,11017,-32764,3
214594,-8810,32742,20274,30812,12273,-32764,3
214607,-9759,32742,21856,32764,13264,-32764,3
214619,-1037,32742,25501,32764,10967,-32764,3
214632,8085,32742,30110,32764,8324,-32764,3
214645,17999,32742,32764,31867,4523,-32764,3
214658,23455,32742,32764,29078,1681,-32764,3
214670,31966,32742,32764,25092,-1251,-32764,3
214715,32711,-4837,27322,8306,-1088,-32764,3
214727,32711,-9730,25689,8610,2147,-32042,3
214740,32711,-12539,27529,10363,3089,-21064,3
214753,31954,-12302,29316,9441,2208,-16905,3
214766,25782,-9355,28011,4199,287,-12904,3
214778,24652,-9260,24565,1484,-193,-11281,3
214791,23606,-8750,20797,-153,-348,-9030,3
214804,14173,-7634,15867,-39,216,-4173,3
214817,8873,-6687,15403,964,-197,-3351,3
214830,5534,-5822,16107,1592,-1650,-3556,3
214842,4476,-5007,17400,1751,-3665,-4994,3
214855,5448,-4794,17448,1923,-3204,-5091,3
215560,-17919,7651,11945,-3159,-3811,-794,4
215572,-20873,10376,11705,-3055,-4699,-2347,4
215585,-24019,19885,10877,-2734,-7734,-5536,4
215598,-25415,24299,10090,-1874,-7388,-7280,4
215611,-29004,28017,9268,7,-4120,-9228,4
215624,-32759,32742,7887,5899,4808,-16893,4
215636,-32759,32742,6505,9117,6190,-24359,4
215649,-32759,32742,5031,12856,6186,-31555,4
215662,-32759,32742,7396,24078,9871,-32764,4
215675,-32759,32742,12081,29909,12283,-32764,4
215687,-32619,32742,17294,32608,12793,-32764,4
215701,-9167,32742,26455,32764,11776,-32764,4
215713,6827,32742,29632,32764,12683,-32764,4
215726,10494,32742,28271,32002,15737,-32764,4
215739,11402,32742,28798,31295,16251,-32764,4
215752,13992,32742,26843,31716,18033,-32764,4
215764,32704,32742,31477,32764,16921,-32764,4
215777,32711,32742,32764,32764,15157,-32764,4
215790,32711,32742,32764,32743,11328,-32764,4
215803,32711,32742,32764,22920,4004,-32764,4
215816,32710,31378,32625,16505,2324,-32764,4
215828,32703,26198,30468,15372,1582,-32764,4
215841,32711,18959,32508,18509,6989,-32764,4
215854,32711,16409,32764,18462,11539,-32764,4
215866,32711,13783,32764,17886,12737,-32007,4
216501,-7958,-417,14696,-1698,-1354,980,5
216514,-9306,1178,13278,-1867,247,1192,5
216526,-19429,6936,13504,204,-257,-587,5
216539,-28014,12698,15429,764,-1680,-3460,5
216552,-32760,17385,15637,-75,-2599,-8372,5
216565,-32760,23408,10209,-777,-1262,-29802,5
216578,-32759,28533,6733,615,13,-32764,5
216590,-32759,32742,5568,3726,2844,-32764,5
216603,-32759,32742,10503,12865,10567,-32764,5
216616,-31075,32742,13325,17680,15648,-32764,5
216629,-18615,32742,17038,22436,18931,-32764,5
216641,29035,32742,32764,20580,1098,-32764,5
216654,32711,32742,32764,4004,-11792,-32764,5
216668,32711,15173,4513,-16067,-4996,-32764,5
216681,32679,8350,-138,-8630,13906,-32764,5
216694,24757,9535,11449,4470,28636,-32764,5
216707,12115,16357,30162,9066,27548,-32764,5
216720,16675,11107,28152,3437,14965,-32764,5
216732,25927,-709,20805,953,-3367,-32764,5
216745,32711,-2711,7759,862,-9869,-28501,5
217389,-12617,3555,14490,-1940,-1689,3944,6
217402,-24287,9855,11654,-4536,-2857,1083,6
217415,-32209,15917,9365,-4944,-3106,-3218,6
217428,-32759,26110,6702,-4426,-2080,-10203,6
217441,-32759,32742,887,95,1191,-32006,6
217453,-32759,32742,1067,5263,1197,-32764,6
217466,-32759,32742,4608,10573,4241,-32764,6
217479,-31920,32742,6757,23599,19389,-32764,6
217492,-14205,32742,15173,31453,26338,-32764,6
217505,-638,32742,32764,32764,29908,-32764,6
217517,17519,32742,32764,32161,14533,-32764,6
217530,31428,32742,32764,23682,354,-32764,6
217543,32711,29767,18166,1376,-11775,-32764,6
217556,32711,20612,8582,958,-4836,-32764,6
217568,32711,14621,12068,4326,9761,-32764,6
217581,27600,12765,24275,11084,14487,-32764,6
217594,27326,11002,26066,9348,8128,-32764,6
217607,32672,8217,22891,5723,451,-32764,6
217620,32711,2018,12162,-893,4530,-25880,6
217632,32711,456,13954,422,8487,-18681,6
217645,32711,36,17467,3471,8814,-12876,6
217658,32711,1633,23970,6145,6382,-1021,6
218182,-26616,28071,11540,-1817,-6262,-11919,7
218194,-32011,32742,7374,-3930,-7632,-21748,7
218207,-32759,32742,4204,-3066,-5318,-27408,7
218220,-32759,32742,3003,-420,-4803,-32113,7
218233,-32759,32742,1036,5254,-3932,-32764,7
218246,-32759,32742,327,9272,-1378,-32764,7
218258,-30794,32742,4879,21518,6258,-32764,7
218271,-27136,32742,10487,28243,11436,-32764,7
218284,-22363,32742,15957,32360,15545,-32764,7
218297,1188,32742,31871,32764,19214,-32764,7
218310,9202,32742,32764,32763,17604,-32764,7
218323,16093,32742,32764,30811,13938,-32764,7
218335,32656,32742,30387,19123,6122,-32764,7
218378,12441,32742,26616,30883,24121,-32764,7
218391,32711,32742,32764,31535,8753,-32764,7
218404,32711,32530,32764,23609,461,-32764,7
218417,32711,25712,32764,14508,-5567,-32764,7
218429,32711,15803,24884,7913,-200,-32022,7
218443,30072,15572,27393,10594,4964,-28038,7
218455,25277,16728,30784,13002,7954,-25466,7
218468,22980,14599,32396,11032,9105,-24172,7
218481,26599,12752,32681,8904,7285,-22749,7
218494,32711,8577,32764,2420,1895,-13010,7
218506,32711,7560,32531,-1938,3300,-4414,7
219221,-14984,3642,12109,-4454,-1075,2875,8
219233,-15440,5553,10513,-4618,-1775,1774,8
219246,-17606,9128,10430,-4210,-3185,684,8
219259,-25270,20958,9621,-3537,-3337,-1786,8
219272,-32556,28006,7869,-3117,-2054,-4609,8
219284,-32759,32742,3339,-1798,-2496,-19609,8
219297,-32759,32742,2356,5035,-1643,-29510,8
219310,-32759,32742,267,9618,1175,-32753,8
219323,-32759,32742,2574,22677,6228,-32764,8
219336,-32759,32742,7371,27893,5882,-32764,8
219348,-31456,32742,13642,30482,5821,-32764,8
219361,-17222,32742,22720,30518,11525,-32764,8
219374,-10268,32742,24184,29739,14097,-32764,8
219387,-6856,32742,23696,28156,14993,-32764,8
219400,10113,32742,21235,25853,14504,-32764,8
219413,17923,32742,16734,27021,19490,-32764,8
219425,15657,32742,12993,30942,28199,-32764,8
219438,11305,32742,31804,32764,23049,-32764,8
219451,19928,32742,32764,32757,8733,-32764,8
219464,28021,32742,30049,13263,-4335,-32764,8
219477,22506,32742,21488,7836,-3608,-32764,8
219489,16066,32742,18260,10804,-269,-32764,8
219502,22603,32742,32533,22925,-636,-32764,8
219515,30353,32742,32764,21303,-1590,-32764,8
219528,32711,32604,32764,15197,-1335,-32764,8
219541,32711,25585,32764,1783,3028,-31861,8
219554,32711,23427,30184,-1674,6907,-24833,8
219566,32711,22592,27630,-756,9165,-17554,8
219579,32711,25199,32764,4627,6471,-8604,8
219592,32711,23853,32764,792,6833,-4643,8
219604,32711,20060,32764,-13275,15317,7646,8
219618,31774,20413,32754,-19096,20701,13771,8
220272,-13873,2562,17237,-1365,1373,3540,9
220284,-15057,2199,16729,-2591,1535,1420,9
220297,-15679,2664,16362,-3135,1660,537,9
220310,-15312,3414,16008,-3822,1723,-275,9
220322,-16164,3919,13084,-5311,1862,-2003,9
220336,-17195,4459,12220,-5392,1486,-3140,9
