timestamp,ax,ay,az,gx,gy,gz,pressing_id
2216666,-2823,9182,17564,1498,-4441,1589,1
2216679,427,9092,15795,1217,-5654,980,1
2216692,805,9338,16430,1616,-5506,1493,1
2216759,412,1866,28253,6707,1171,4327,1
2216771,2216,4833,32764,6431,1143,6940,1
2216784,-29,9286,32764,2068,2547,9548,1
2216797,-4523,15434,32764,-4223,5835,12132,1
2216810,-21844,27768,32764,-17377,17250,12701,1
2216822,-28444,31162,32764,-23925,23924,8240,1
2216835,-30918,32695,32764,-29897,27428,830,1
2216848,-18923,32742,32764,-32764,18612,-16057,1
2216861,-8710,32742,32764,-32764,12165,-21924,1
2216874,1495,32742,32764,-32764,7336,-24824,1
2216886,16051,32742,31882,-32764,6520,-21379,1
2216900,15983,32742,25015,-32764,9990,-17139,1
2216912,15673,32432,16014,-32764,14068,-14199,1
2216925,13793,32742,15597,-32764,16329,-10267,1
2216938,9737,32742,19542,-32764,13626,-8840,1
2216951,6447,31630,-4130,-32764,4865,-3446,1
2216963,10146,26105,-14445,-32764,2263,-5009,1
2216976,5979,28735,-15714,-32764,4564,-4972,1
2216989,23194,-650,-17754,-32764,-3016,-6180,1
2217002,21708,12731,-20105,-32706,-554,4934,1
2217927,-6041,11576,22020,-4722,7721,4152,2
2217939,-530,9653,13391,-8404,4558,120,2
2217953,-333,8762,9967,-8212,3698,-836,2
2217965,957,7774,8099,-6711,1988,-1920,2
2217978,2955,6437,7838,-2159,-651,-3657,2
2217991,4109,6102,9320,-73,-1091,-4152,2
2218003,6189,6826,11404,1379,-2483,-3805,2
2218016,7031,7583,14573,1985,-2812,-1882,2
2218029,7230,7698,15406,1525,-3128,-665,2
2218042,6699,7860,15863,880,-3212,567,2
2218054,5882,8048,15821,-309,-1833,2675,2
2218067,4880,7926,16104,-501,-555,3652,2
2218080,2618,8050,17767,-820,1597,5125,2
2218093,1782,8192,18620,-1340,2238,5347,2
2218106,1613,7896,20016,-1795,2739,5341,2
2218118,419,7970,23940,-2623,5695,5662,2
2218131,-1707,7957,26691,-3097,8382,5868,2
2218144,-4237,8363,30483,-3613,10711,5800,2
2218157,-7840,10963,32764,-6765,12630,5087,2
2218169,-9516,13853,32764,-9990,12913,4739,2
2218182,-13036,17533,32764,-13759,14016,4260,2
2218195,-20510,23831,32764,-20152,18798,-1492,2
2218208,-19608,26300,32764,-23335,19732,-7124,2
2218221,-15113,28865,32764,-27611,19365,-13230,2
2218233,-5089,32738,32764,-32764,15814,-21777,2
2218246,-1893,32742,32764,-32764,12844,-24417,2
2218259,6378,31181,32764,-32764,7837,-27459,2
2218272,11806,27627,32764,-32764,8837,-27168,2
2218285,17271,25151,32708,-32764,12243,-25224,2
2218298,17524,22328,22520,-32764,22016,-16737,2
2218310,12028,21745,21721,-32764,22419,-13297,2
2218323,6750,22491,21607,-32764,20156,-12474,2
2218336,7714,25431,17410,-32764,13420,-15574,2
2218349,11450,26317,12597,-32764,11291,-16320,2
2218362,13694,26036,6915,-32764,10284,-15610,2
2218374,12007,23315,-2166,-32764,7151,-10862,2
2218387,9116,20247,-4009,-32764,4609,-8760,2
2218400,12084,14911,-6423,-32764,563,-5260,2
2218413,12588,12690,-6961,-32764,388,-1743,2
2218426,9483,11282,-7151,-32764,983,2411,2
2218439,2236,7039,-8201,-32754,3204,6892,2
2218451,784,5349,-8482,-31617,4427,7016,2
2218464,386,4080,-9113,-28636,5204,6640,2
2219379,3460,8929,17727,-776,-864,-1449,3
2219392,5101,8345,17483,-1904,683,-1731,3
2219405,3923,8316,17627,-2928,1213,-1516,3
2219417,4233,7465,17521,-4899,1330,-367,3
2219430,4848,7427,18763,-5152,453,499,3
2219443,5391,7975,21499,-5453,-1113,1837,3
2219456,4204,10804,32272,-6015,-5457,6314,3
2219468,2904,13139,32764,-6217,-3762,8458,3
2219481,1641,17667,32764,-6657,3273,10458,3
2219494,-2113,26808,32764,-15111,24312,10585,3
2219507,-1743,29392,32764,-23142,29464,7482,3
2219520,-1100,31521,32764,-30982,29662,3097,3
2219532,1060,30634,32764,-32764,23260,-7009,3
2219545,7605,31139,32764,-32764,19336,-12635,3
2219558,25277,31644,32764,-32764,16757,-16795,3
2219571,28923,28445,32764,-32764,18885,-14006,3
2219583,26722,26589,32764,-32764,20653,-9757,3
2219597,20799,27815,26050,-32764,22189,-5743,3
2219609,20253,29161,19777,-32764,22545,-5409,3
2219622,20456,31025,15609,-32764,21436,-4792,3
2219635,23792,30126,3822,-32764,18297,-1713,3
2219647,24604,26940,-2322,-32764,18267,1555,3
2219661,23071,23874,-5244,-32764,18367,5220,3
2219673,19951,21480,-3973,-32764,16210,11496,3
2219686,16128,20463,-4647,-32764,15630,14546,3
2219730,1558,11950,-9531,-31528,17976,15883,3
2219743,-492,9707,-11979,-28012,17512,14272,3
2219755,3534,5727,-12306,-23727,16497,12427,3
2219769,4363,5533,-10460,-14899,15545,11501,3
2219781,2702,5533,-9497,-12264,15574,12676,3
2219794,-3378,3963,-12063,-10233,14801,13453,3
2219807,-6805,2710,-14524,-9187,13455,12159,3
2219820,-7306,2043,-16106,-7515,11474,9932,3
2219833,-8046,2100,-18474,-3076,11025,6423,3
2220928,1614,9400,17247,-3301,-4623,-2128,4
2220940,1185,9272,17092,-4782,-4450,-1815,4
2220954,537,8110,15510,-7238,-3655,-813,4
2220966,241,7235,14878,-7264,-3674,-462,4
2220979,35,6482,15443,-6392,-4479,144,4
2220992,-1339,5256,19883,-3252,-2233,736,4
2221005,-3238,6196,24285,-1555,-684,893,4
2221017,-6649,9202,32764,-753,795,949,4
2221030,-9206,11652,32764,-2050,4959,2322,4
2221043,-11452,15711,32764,-6520,8168,2745,4
2221055,-17815,24162,32764,-21050,14828,1538,4
2221069,-20693,26833,32764,-27214,17096,-1383,4
2221081,-20462,28382,32764,-31565,18245,-6059,4
2221094,-9431,29943,32764,-32764,17264,-15791,4
2221107,-1884,32742,32764,-32764,15835,-18549,4
2221120,3822,32742,32764,-32764,14587,-18693,4
2221133,8766,32742,32764,-32764,16662,-16350,4
2221145,10704,31330,32764,-32764,19966,-15546,4
2221158,12515,28831,31300,-32764,22208,-14984,4
2221171,12668,24307,22916,-32764,22589,-13260,4
